省份,年份,GDP_亿元,人均GDP_万元,常住人口_万人,城镇化率,第一产业增加值_亿元,第二产业增加值_亿元,第三产业增加值_亿元,第三产业占比,CO2排放总量_万吨,人均CO2_吨
上海,2018,37769.1,15.26,2475.0,89.13,104.8,10360.8,27303.5,72.29,40477.4,163.545
上海,2019,40241.2,16.22,2481.0,89.24,107.1,10317.1,29817.1,74.1,42970.18,173.197
上海,2020,41603.9,16.722,2488.0,89.31,107.7,10356.7,31139.5,74.85,41488.15,166.753
上海,2021,47059.4,18.907,2489.0,89.31,96.0,11425.4,35538.0,75.52,42215.34,169.608
上海,2022,48594.5,19.634,2475.0,89.33,100.0,11386.4,37108.1,76.36,58776.15,237.479
云南,2018,21427.5,4.556,4703.0,47.44,2498.7,7267.5,11661.3,54.42,45771.13,97.323
云南,2019,23902.1,5.07,4714.0,48.66,3037.7,8152.1,12712.3,53.18,39398.63,83.578
云南,2020,25214.5,5.34,4722.0,50.04,3611.8,8427.8,13175.0,52.25,46417.65,98.301
云南,2021,27895.3,5.948,4690.0,51.04,3832.3,9535.2,14527.8,52.08,45989.41,98.058
云南,2022,29301.1,6.244,4693.0,51.72,4001.9,9985.8,15313.4,52.26,45084.17,96.067
内蒙古,2018,16252.9,6.711,2422.0,65.52,1750.7,6335.4,8166.8,50.25,183701.53,758.47
内蒙古,2019,17479.4,7.238,2415.0,66.46,1863.3,6774.0,8842.2,50.59,208368.52,862.81
内蒙古,2020,17623.4,7.334,2403.0,67.5,2028.8,6789.7,8804.9,49.96,224789.26,935.453
内蒙古,2021,21584.8,8.994,2400.0,68.21,2354.6,9646.5,9583.6,44.4,223374.82,930.728
内蒙古,2022,23795.7,9.911,2401.0,68.6,2655.1,10916.8,10223.9,42.97,228238.31,950.597
北京,2018,35161.4,16.041,2192.0,87.09,120.6,5477.4,29563.5,84.08,21322.32,97.273
北京,2019,37767.0,17.245,2190.0,87.35,114.4,5812.9,31839.7,84.31,21357.79,97.524
北京,2020,38503.6,17.59,2189.0,87.53,108.3,5899.8,32495.5,84.4,19868.64,90.766
北京,2021,44350.7,20.261,2189.0,87.53,111.4,7732.2,36507.1,82.31,19977.31,91.262
北京,2022,45222.4,20.706,2184.0,87.59,111.5,6960.4,38150.6,84.36,20317.77,93.03
吉林,2018,11437.4,4.604,2484.0,60.87,1160.7,4051.5,6225.1,54.43,42439.33,170.851
吉林,2019,11949.4,4.881,2448.0,61.64,1287.3,4162.0,6500.1,54.4,43557.88,177.933
吉林,2020,12499.5,5.21,2399.0,62.65,1553.0,4337.3,6609.1,52.87,40775.2,169.967
吉林,2021,13431.1,5.655,2375.0,63.37,1554.0,4713.7,7163.4,53.33,41715.53,175.644
吉林,2022,13121.4,5.588,2348.0,63.71,1689.1,4274.9,7157.4,54.55,40982.46,174.542
四川,2018,43539.0,5.232,8321.0,53.5,4427.4,16056.9,23054.7,52.95,59211.68,71.159
四川,2019,47168.6,5.648,8351.0,55.36,4807.5,17202.7,25158.5,53.34,65095.38,77.949
四川,2020,49445.1,5.907,8371.0,56.73,5556.9,17594.8,26293.4,53.18,63120.84,75.404
四川,2021,55131.3,6.585,8372.0,57.82,5662.8,20016.5,29452.0,53.42,64504.8,77.048
四川,2022,57609.4,6.88,8374.0,58.35,5965.5,20314.0,31330.0,54.38,62873.78,75.082
天津,2018,13411.1,9.697,1383.0,83.95,175.3,4835.3,8400.5,62.64,35554.85,257.085
天津,2019,14097.2,10.178,1385.0,84.33,185.4,5016.9,8894.9,63.1,35618.5,257.173
天津,2020,14230.8,10.26,1387.0,84.72,210.3,4966.6,9053.8,63.62,33150.99,239.012
天津,2021,16093.2,11.721,1373.0,84.85,265.9,5780.5,10046.8,62.43,36753.56,267.688
天津,2022,16588.5,12.171,1363.0,85.11,273.2,6092.7,10222.7,61.63,36050.49,264.494
宁夏,2018,3580.6,5.043,710.0,62.11,279.4,1488.1,1813.1,50.64,53388.2,751.946
宁夏,2019,3841.5,5.358,717.0,63.6,280.0,1588.0,1973.6,51.38,56779.15,791.899
宁夏,2020,4036.2,5.598,721.0,64.91,338.1,1604.8,2093.3,51.86,59125.09,820.043
宁夏,2021,4666.5,6.437,725.0,66.07,364.6,2036.6,2265.3,48.54,63610.04,877.38
宁夏,2022,5168.1,7.099,728.0,66.35,407.5,2318.6,2441.9,47.25,67546.63,927.838
安徽,2018,34377.3,5.658,6076.0,55.65,2638.0,14094.4,17644.9,51.33,83309.07,137.112
安徽,2019,37584.8,6.17,6092.0,57.03,2915.9,14895.9,19773.0,52.61,85144.94,139.765
安徽,2020,38628.8,6.327,6105.0,58.33,3184.9,15286.7,20157.2,52.18,86798.25,142.176
安徽,2021,43102.8,7.051,6113.0,59.4,3363.9,16925.5,22813.5,52.93,89681.85,146.707
安徽,2022,45525.1,7.43,6127.0,60.16,3516.5,17697.0,24311.6,53.4,83984.0,137.072
山东,2018,67864.4,6.735,10077.0,61.46,4950.5,27523.7,35390.2,52.15,291373.02,289.147
山东,2019,72024.3,7.127,10106.0,61.86,5116.9,28464.9,38442.5,53.37,300024.19,296.877
山东,2020,74355.9,7.315,10165.0,63.05,5364.4,29008.0,39983.5,53.77,309012.36,303.996
山东,2021,84838.0,8.342,10170.0,63.94,6026.9,34084.0,44727.1,52.72,308987.84,303.823
山东,2022,89519.4,8.808,10163.0,64.54,6296.2,36037.2,47186.0,52.71,292596.81,287.904
山西,2018,16153.1,4.613,3502.0,59.85,740.8,7074.5,8337.9,51.62,335310.52,957.483
山西,2019,17311.0,4.95,3497.0,61.28,825.3,7402.9,9082.7,52.47,346600.5,991.137
山西,2020,18202.7,5.216,3490.0,62.52,1166.6,7440.2,9595.9,52.72,391610.93,1122.094
山西,2021,23087.8,6.634,3480.0,63.42,1286.7,10892.5,10908.6,47.25,426537.49,1225.682
山西,2022,25653.2,7.369,3481.0,63.95,1335.3,12667.1,11650.9,45.42,455620.84,1308.879
广东,2018,101875.9,8.25,12348.0,71.81,3836.4,41398.5,56641.1,55.6,132997.37,107.708
广东,2019,110468.1,8.845,12489.0,72.65,4350.6,43528.6,62588.8,56.66,131326.18,105.153
广东,2020,113708.9,9.007,12624.0,74.15,4732.7,43756.4,65219.7,57.36,138880.98,110.013
广东,2021,127577.4,10.058,12684.0,74.63,4985.1,49977.2,72615.1,56.92,161272.79,127.147
广东,2022,132547.1,10.472,12657.0,74.78,5350.0,51341.4,75855.7,57.23,158883.09,125.53
广西,2018,19951.7,4.033,4947.0,51.83,3021.1,6692.9,10237.8,51.31,47706.44,96.435
广西,2019,21341.5,4.284,4982.0,52.97,3389.7,6870.3,11081.5,51.92,51153.1,102.676
广西,2020,22250.7,4.433,5019.0,54.19,3645.9,7067.6,11537.2,51.85,49315.36,98.257
广西,2021,25311.5,5.025,5037.0,55.07,4051.8,8523.3,12736.5,50.32,54463.36,108.127
广西,2022,26419.7,5.235,5047.0,55.66,4270.4,8867.3,13282.0,50.27,52551.68,104.125
新疆,2018,13110.1,5.202,2520.0,54.01,1692.1,4657.2,6760.9,51.57,106084.86,420.972
新疆,2019,14024.9,5.481,2559.0,55.53,1781.7,4824.9,7418.3,52.89,113585.97,443.869
新疆,2020,14262.2,5.507,2590.0,56.53,1981.3,4798.5,7482.4,52.46,124597.91,481.073
新疆,2021,16791.5,6.486,2589.0,57.24,2358.7,6281.3,8151.5,48.55,140684.78,543.394
新疆,2022,18550.5,7.171,2587.0,57.9,2653.8,7312.7,8584.0,46.27,150967.6,583.562
江苏,2018,93456.3,11.065,8446.0,71.19,4141.7,42129.4,47185.2,50.49,150450.24,178.132
江苏,2019,99836.9,11.789,8469.0,72.46,4297.2,44281.4,51258.3,51.34,149075.09,176.024
江苏,2020,104566.6,12.335,8477.0,73.45,4537.6,45391.4,54637.6,52.25,146331.47,172.622
江苏,2021,119853.2,14.092,8505.0,73.94,4719.1,53575.8,61558.4,51.36,154997.76,182.243
江苏,2022,124564.2,14.629,8515.0,74.42,4963.9,55343.4,64256.9,51.59,155614.05,182.753
江西,2018,23016.9,5.1,4513.0,57.35,1877.3,10081.2,11058.4,48.04,39585.86,87.715
江西,2019,24724.0,5.475,4516.0,59.08,2057.7,10385.3,12281.0,49.67,40215.26,89.051
江西,2020,25825.4,5.715,4519.0,60.43,2243.8,10631.7,12949.9,50.14,39362.56,87.105
江西,2021,29838.2,6.606,4517.0,61.46,2334.0,12559.3,14945.0,50.09,40661.82,90.02
江西,2022,31568.1,6.972,4528.0,62.08,2466.4,12832.9,16268.8,51.54,35710.78,78.867
河北,2018,32947.0,4.437,7426.0,57.33,3338.6,12904.1,16704.3,50.7,127872.54,172.196
河北,2019,35623.5,4.784,7447.0,58.78,3518.4,13600.9,18504.2,51.94,129889.89,174.419
河北,2020,36821.5,4.933,7464.0,60.08,3880.4,13938.0,19003.1,51.61,128812.94,172.579
河北,2021,41205.4,5.532,7448.0,61.14,4029.3,16450.8,20725.3,50.3,127114.03,170.669
河北,2022,43198.3,5.822,7420.0,61.66,4408.4,16406.7,22383.3,51.82,128334.05,172.957
河南,2018,50273.5,5.097,9864.0,52.24,4311.1,21446.8,24515.5,48.76,108949.8,110.452
河南,2019,53739.3,5.428,9901.0,54.01,4635.7,22185.5,26918.2,50.09,101363.45,102.377
河南,2020,54160.6,5.448,9941.0,55.43,5354.0,21416.6,27390.0,50.57,102462.8,103.071
河南,2021,57806.9,5.849,9883.0,56.45,5626.1,22571.0,29609.7,51.22,104238.74,105.473
河南,2022,58807.4,5.957,9872.0,57.06,5731.0,22122.5,30953.9,52.64,104167.13,105.518
浙江,2018,59311.7,9.455,6273.0,70.01,1975.9,25308.1,32027.7,54.0,92327.24,147.182
浙江,2019,64632.0,10.138,6375.0,71.58,2086.7,26643.3,35902.0,55.55,98251.81,154.12
浙江,2020,67164.5,10.384,6468.0,72.17,2166.3,26638.2,38360.0,57.11,110081.36,170.194
浙江,2021,76765.3,11.738,6540.0,72.66,2211.9,31370.7,43182.7,56.25,127602.0,195.11
浙江,2022,80770.0,12.281,6577.0,73.38,2185.2,32873.3,45711.5,56.59,140180.46,213.137
海南,2018,5004.2,5.096,982.0,59.16,986.0,1053.1,2965.1,59.25,17447.61,177.674
海南,2019,5442.1,5.469,995.0,59.4,1079.0,1095.6,3267.6,60.04,18187.16,182.786
海南,2020,5640.8,5.574,1012.0,60.28,1136.0,1074.6,3430.2,60.81,17913.73,177.013
海南,2021,6508.9,6.381,1020.0,60.98,1254.5,1233.1,4021.2,61.78,18866.52,184.966
海南,2022,6912.8,6.731,1027.0,61.44,1417.8,1281.4,4213.6,60.95,16761.85,163.212
湖北,2018,42425.5,7.17,5917.0,60.99,3548.2,17573.9,21303.4,50.21,59252.65,100.14
湖北,2019,45557.0,7.686,5927.0,61.84,3809.4,18397.1,23350.6,51.26,64686.98,109.139
湖北,2020,43017.6,7.488,5745.0,62.89,4133.2,16359.6,22524.7,52.36,55742.32,97.028
湖北,2021,50093.3,8.592,5830.0,64.08,4634.0,19241.3,26218.0,52.34,66266.4,113.664
湖北,2022,53445.4,9.145,5844.0,64.66,4981.9,19948.5,28515.0,53.35,68062.26,116.465
湖南,2018,36629.3,5.521,6635.0,56.1,3084.2,13904.1,19641.0,53.62,52323.16,78.859
湖南,2019,39930.7,6.014,6640.0,57.45,3647.2,14974.8,21308.8,53.36,52078.91,78.432
湖南,2020,41693.7,6.274,6645.0,58.77,4240.7,15577.3,21875.6,52.47,49497.29,74.488
湖南,2021,45751.9,6.909,6622.0,59.71,4322.3,17325.9,24103.7,52.68,47201.44,71.28
湖南,2022,47957.9,7.262,6604.0,60.31,4601.2,17519.8,25836.8,53.87,47267.74,71.574
甘肃,2018,8364.7,3.326,2515.0,49.7,926.1,2761.6,4677.0,55.91,42025.3,167.099
甘肃,2019,9053.3,3.608,2509.0,50.7,1059.3,2914.2,5079.8,56.11,42649.08,169.984
甘肃,2020,9323.1,3.728,2501.0,52.22,1188.1,2891.9,5243.1,56.24,45021.15,180.013
甘肃,2021,10608.0,4.26,2490.0,53.33,1364.8,3531.6,5711.6,53.84,48175.52,193.476
甘肃,2022,11553.6,4.636,2492.0,54.21,1499.7,3981.5,6072.4,52.56,46996.81,188.591
福建,2018,39204.8,9.553,4104.0,66.98,2379.0,18847.8,17978.0,45.86,59019.64,143.81
福建,2019,42479.1,10.268,4137.0,67.88,2595.5,19578.6,20305.0,47.8,64694.34,156.38
福建,2020,43682.0,10.498,4161.0,68.76,2730.8,19509.7,21441.6,49.09,65467.23,157.335
福建,2021,49602.6,11.847,4187.0,69.69,2900.0,22434.5,24268.2,48.93,73384.89,175.268
福建,2022,52099.6,12.44,4188.0,70.13,3077.5,22470.0,26552.1,50.96,68937.47,164.607
贵州,2018,15886.6,4.157,3822.0,49.53,2156.0,5506.2,8224.3,51.77,60479.65,158.241
贵州,2019,17251.8,4.483,3848.0,51.48,2280.5,5836.6,9134.6,52.95,60445.73,157.083
贵州,2020,18308.3,4.746,3858.0,53.16,2539.9,5881.1,9887.2,54.0,57988.74,150.308
贵州,2021,19921.3,5.172,3852.0,54.34,2730.5,6351.8,10839.1,54.41,61556.49,159.804
贵州,2022,20579.5,5.337,3856.0,54.82,2862.2,6360.7,11356.7,55.18,56758.26,147.195
辽宁,2018,24113.5,5.62,4291.0,70.26,2020.6,9049.0,13044.0,54.09,139067.07,324.09
辽宁,2019,25665.9,6.001,4277.0,71.22,2178.0,9510.3,13977.6,54.46,157765.82,368.87
辽宁,2020,25839.0,6.073,4255.0,72.15,2284.8,9294.3,14259.9,55.19,162939.67,382.937
辽宁,2021,28471.0,6.732,4229.0,72.81,2462.1,10664.9,15344.0,53.89,164097.94,388.03
辽宁,2022,29739.7,7.086,4197.0,73.0,2598.0,10924.1,16217.5,54.53,154838.29,368.926
重庆,2018,21866.8,6.913,3163.0,66.61,1378.7,8842.2,11645.9,53.26,27684.94,87.527
重庆,2019,23689.6,7.431,3188.0,68.22,1551.6,9059.8,13078.2,55.21,28064.96,88.033
重庆,2020,25158.1,7.84,3209.0,69.46,1803.5,9646.0,13708.5,54.49,27864.08,86.831
重庆,2021,28092.5,8.746,3212.0,70.33,1922.3,10679.5,15490.7,55.14,28466.36,88.625
重庆,2022,28771.8,8.955,3213.0,70.96,2012.6,10477.4,16281.8,56.59,28982.39,90.204
陕西,2018,24354.8,6.196,3931.0,59.65,1830.2,11215.3,11309.4,46.44,128864.11,327.815
陕西,2019,26214.5,6.647,3944.0,61.28,1991.1,11590.2,12633.2,48.19,136715.89,346.643
陕西,2020,26297.0,6.649,3955.0,62.65,2267.7,10721.1,13308.2,50.61,139116.14,351.748
陕西,2021,30476.6,7.708,3954.0,63.63,2409.5,12963.3,15103.7,49.56,131738.15,333.177
陕西,2022,33035.6,8.351,3956.0,64.0,2574.9,14264.7,16196.0,49.03,139863.03,353.547
青海,2018,2799.9,4.77,587.0,57.24,270.9,1093.7,1435.3,51.26,11621.64,197.984
青海,2019,3020.2,5.119,590.0,58.81,304.8,1172.0,1543.4,51.1,10969.4,185.922
青海,2020,3080.6,5.195,593.0,60.03,341.1,1157.5,1582.0,51.35,9949.12,167.776
青海,2021,3446.3,5.802,594.0,60.94,357.1,1389.7,1699.5,49.31,11273.45,189.789
青海,2022,3677.4,6.181,595.0,61.51,382.6,1618.7,1676.1,45.58,11035.27,185.467
黑龙江,2018,13205.7,3.969,3327.0,63.45,3001.2,3536.0,6668.6,50.5,73469.3,220.827
黑龙江,2019,13962.5,4.29,3255.0,64.61,3183.2,3668.0,7111.3,50.93,73931.71,227.133
黑龙江,2020,14000.1,4.415,3171.0,65.59,3445.1,3454.7,7100.3,50.72,73776.74,232.661
黑龙江,2021,15292.8,4.894,3125.0,65.7,3463.9,4082.3,7746.6,50.66,78315.44,250.609
黑龙江,2022,16359.2,5.279,3099.0,66.21,3635.3,4549.5,8174.4,49.97,77391.71,249.731
